[24/12/2012 | 10:34:38] Troke Spawned a "Elegy" (Model:562) Colours (112, 59), Pos: X:639.10, Y:-1442.27, Z:14.09
[24/12/2012 | 10:42:20] Troke Spawned a "FCR-900" (Model:521) Colours (24, 112), Pos: X:2493.00, Y:-1661.15, Z:13.33
[24/12/2012 | 10:44:23] Troke Spawned a "Moonbeam" (Model:418) Colours (43, 103), Pos: X:2106.38, Y:-1302.01, Z:23.83
[24/12/2012 | 11:37:28] Troke Spawned a "Elegy" (Model:562) Colours (8, 8), Pos: X:-2750.03, Y:1178.54, Z:52.87
[24/12/2012 | 11:38:07] Troke Spawned a "Pizzaboy" (Model:448) Colours (39, 97), Pos: X:-2684.04, Y:1866.61, Z:66.29
[24/12/2012 | 11:40:33] Troke Spawned a "Pizzaboy" (Model:448) Colours (103, 100), Pos: X:-2242.31, Y:2340.06, Z:4.99
[24/12/2012 | 16:55:12] Troke Spawned a "Elegy" (Model:562) Colours (116, 73), Pos: X:380.25, Y:2214.22, Z:2369.55
[24/12/2012 | 17:01:20] Troke Spawned a "Mesa" (Model:500) Colours (97, 94), Pos: X:-1152.25, Y:2857.13, Z:66.43
[25/12/2012 | 10:23:42] Troke Spawned a "Rhino" (Model:432) Colours (80, 41), Pos: X:-1995.53, Y:136.11, Z:27.68
[25/12/2012 | 10:29:44] Troke Spawned a "Speeder" (Model:452) Colours (37, 107), Pos: X:-2612.26, Y:1355.94, Z:50.11
[25/12/2012 | 10:29:50] Troke Spawned a "Speeder" (Model:452) Colours (2, 20), Pos: X:-2633.90, Y:1358.45, Z:45.24
[25/12/2012 | 10:30:03] Troke Spawned a "Speeder" (Model:452) Colours (29, 35), Pos: X:-2631.51, Y:1354.38, Z:10.94
[25/12/2012 | 10:30:06] Troke Spawned a "Speeder" (Model:452) Colours (26, 46), Pos: X:-2631.54, Y:1354.29, Z:10.47
[25/12/2012 | 10:30:07] Troke Spawned a "Speeder" (Model:452) Colours (20, 82), Pos: X:-2631.54, Y:1354.29, Z:10.47
[25/12/2012 | 10:30:07] Troke Spawned a "Speeder" (Model:452) Colours (23, 93), Pos: X:-2631.54, Y:1354.29, Z:10.47
[25/12/2012 | 10:30:08] Troke Spawned a "Speeder" (Model:452) Colours (13, 55), Pos: X:-2631.54, Y:1354.29, Z:10.47
[25/12/2012 | 10:30:08] Troke Spawned a "Speeder" (Model:452) Colours (114, 35), Pos: X:-2631.54, Y:1354.29, Z:10.47
[25/12/2012 | 10:30:09] Troke Spawned a "Speeder" (Model:452) Colours (62, 59), Pos: X:-2631.54, Y:1354.29, Z:10.47
[25/12/2012 | 10:30:09] Troke Spawned a "Speeder" (Model:452) Colours (23, 0), Pos: X:-2631.69, Y:1354.31, Z:12.99
[25/12/2012 | 10:30:10] Troke Spawned a "Speeder" (Model:452) Colours (108, 93), Pos: X:-2631.79, Y:1354.34, Z:12.68
[25/12/2012 | 10:30:24] Troke Spawned a "Speeder" (Model:452) Colours (69, 108), Pos: X:-2631.05, Y:1313.78, Z:16.68
[25/12/2012 | 10:30:39] Troke Spawned a "Speeder" (Model:452) Colours (80, 102), Pos: X:-2604.07, Y:1315.32, Z:12.32
[25/12/2012 | 10:30:47] Troke Spawned a "Speeder" (Model:452) Colours (88, 119), Pos: X:-2595.41, Y:1310.13, Z:11.87
[25/12/2012 | 10:30:51] Troke Spawned a "Speeder" (Model:452) Colours (73, 60), Pos: X:-2595.42, Y:1310.06, Z:12.12
[25/12/2012 | 10:30:52] Troke Spawned a "Speeder" (Model:452) Colours (31, 74), Pos: X:-2595.35, Y:1310.21, Z:12.11
[25/12/2012 | 10:30:52] Troke Spawned a "Speeder" (Model:452) Colours (76, 25), Pos: X:-2595.29, Y:1310.34, Z:12.11
[25/12/2012 | 10:30:52] Troke Spawned a "Speeder" (Model:452) Colours (123, 94), Pos: X:-2595.29, Y:1310.34, Z:12.11
[25/12/2012 | 10:30:53] Troke Spawned a "Speeder" (Model:452) Colours (86, 8), Pos: X:-2595.29, Y:1310.34, Z:12.11
[25/12/2012 | 10:30:54] Troke Spawned a "Speeder" (Model:452) Colours (11, 121), Pos: X:-2595.29, Y:1310.34, Z:12.11
[25/12/2012 | 10:30:54] Troke Spawned a "Speeder" (Model:452) Colours (105, 118), Pos: X:-2595.53, Y:1310.45, Z:12.87
[25/12/2012 | 14:53:54] Troke Spawned a "FCR-900" (Model:521) Colours (101, 117), Pos: X:1925.55, Y:-1761.91, Z:13.54
[25/12/2012 | 14:58:10] Troke Spawned a "Infernus" (Model:411) Colours (100, 86), Pos: X:325.56, Y:-1791.25, Z:4.78
[25/12/2012 | 15:07:15] Troke Spawned a "Stratum" (Model:561) Colours (17, 114), Pos: X:-2706.69, Y:215.31, Z:4.17
[25/12/2012 | 15:20:36] Troke Spawned a "Stratum" (Model:561) Colours (15, 43), Pos: X:2643.25, Y:-2024.18, Z:13.54
[25/12/2012 | 15:30:48] Troke Spawned a "Stratum" (Model:561) Colours (27, 61), Pos: X:1300.22, Y:1372.13, Z:10.82
[25/12/2012 | 15:37:46] Troke Spawned a "Monster" (Model:444) Colours (80, 39), Pos: X:1481.20, Y:1684.77, Z:10.81
[25/12/2012 | 16:05:09] Troke Spawned a "FCR-900" (Model:521) Colours (120, 99), Pos: X:-1582.15, Y:910.43, Z:7.69
[25/12/2012 | 16:05:25] Troke Spawned a "FCR-900" (Model:521) Colours (83, 72), Pos: X:-1564.62, Y:1029.88, Z:7.18
[26/12/2012 | 11:36:02] Troke Spawned a "Super GT" (Model:506) Colours (0, 15), Pos: X:-2706.78, Y:208.12, Z:4.17
[26/12/2012 | 12:04:09] Troke Spawned a "Elegy" (Model:562) Colours (58, 56), Pos: X:-1563.86, Y:911.21, Z:7.03
[26/12/2012 | 14:26:12] Troke Spawned a "DFT-30" (Model:578) Colours (96, 10), Pos: X:-1581.08, Y:907.59, Z:7.69
[26/12/2012 | 16:26:52] Troke Spawned a "Sanchez" (Model:468) Colours (76, 86), Pos: X:-2212.47, Y:-2131.17, Z:47.15
[26/12/2012 | 18:29:03] Troke Spawned a "Elegy" (Model:562) Colours (101, 28), Pos: X:-1505.95, Y:1132.25, Z:7.18
[26/12/2012 | 18:35:26] Troke Spawned a "FCR-900" (Model:521) Colours (30, 56), Pos: X:2129.74, Y:-1749.57, Z:13.40
[26/12/2012 | 18:37:09] Troke Spawned a "Super GT" (Model:506) Colours (0, 119), Pos: X:1924.06, Y:-1759.19, Z:13.54
[27/12/2012 | 20:39:25] Troke Spawned a "Buffalo" (Model:402) Colours (2, 76), Pos: X:-2638.34, Y:1368.43, Z:7.13
[27/12/2012 | 20:44:11] Troke Spawned a "Buffalo" (Model:402) Colours (70, 2), Pos: X:-2631.69, Y:1371.84, Z:7.10
