[16/02/2013 | 15:05:35] CreateObject(18259, 711.51, 252.02, 25.57, 0.00, 0.00, 27.04);
[16/02/2013 | 15:16:07] CreateObject(18259, -2613.37, -302.36, 22.97, 0.00, 0.00, 47.39);
[16/02/2013 | 15:27:40] CreateObject(19834, -2092.08, 1413.28, 7.10, 0.00, 0.00, 14.39);
[16/02/2013 | 15:27:57] CreateObject(19821, -2099.51, 1416.88, 7.24, 0.00, 0.00, 89.99);
[16/02/2013 | 15:28:53] CreateObject(0, -2091.15, 1421.91, 7.10, 0.00, 0.00, 356.85);
[16/02/2013 | 15:28:55] CreateObject(19839, -2091.15, 1421.91, 7.10, 0.00, 0.00, 356.85);
[16/02/2013 | 15:30:16] CreateObject(-794, -2076.60, 1415.04, 7.10, 0.00, 0.00, 181.98);
[16/02/2013 | 15:30:38] CreateObject(0, -2076.27, 1412.33, 7.10, 0.00, 0.00, 177.57);
[16/02/2013 | 15:31:09] CreateObject(2, -2076.60, 1408.06, 7.10, 0.00, 0.00, 270.95);
[16/02/2013 | 15:31:16] CreateObject(5, -2077.54, 1408.87, 7.10, 0.00, 0.00, 270.95);
[16/02/2013 | 15:31:19] CreateObject(5, -2077.54, 1408.87, 7.10, 0.00, 0.00, 270.95);
[16/02/2013 | 15:34:51] CreateObject(16151, -1484.43, 822.03, 7.18, 0.00, 0.00, 276.19);
[16/02/2013 | 15:36:48] CreateObject(1651, -1492.35, 810.46, 7.18, 0.00, 0.00, 0.25);
[16/02/2013 | 15:38:00] CreateObject(16151, -1490.65, 798.44, 7.18, 0.00, 0.00, 306.96);
[16/02/2013 | 15:39:22] CreateObject(14582, -1498.56, 804.85, 7.18, 0.00, 0.00, 85.62);
[16/02/2013 | 17:04:14] CreateObject(556, -1631.22, -2236.49, 31.47, 0.00, 0.00, 171.15);
[16/02/2013 | 17:12:27] CreateObject(14817, -2705.61, 353.11, 4.41, 0.00, 0.00, 181.70);
[16/02/2013 | 17:12:38] CreateObject(14817, -2699.02, 351.18, 4.91, 0.00, 0.00, 72.99);
